DATE,Total Sales ,New Orders
5/1/20,12.549,24561
6/1/20,13.545,47601
7/1/20,15.279,57252
8/1/20,15.868,55101
9/1/20,16.77,55748
10/1/20,16.663,54217
11/1/20,16.405,55157
12/1/20,17.052,55625
1/1/21,16.629,56222
2/1/21,16.076,52452
3/1/21,18.287,53034
4/1/21,18.502,49273
5/1/21,17.565,50424
6/1/21,15.996,50306
7/1/21,15.306,54151
8/1/21,13.748,52557
9/1/21,12.748,50056
10/1/21,13.25,53761
11/1/21,13.553,54416
12/1/21,13.245,55422
1/1/22,14.797,55473
2/1/22,14.108,55890
3/1/22,14.049,58321
4/1/22,14.487,58683
5/1/22,13.399,58450
6/1/22,13.749,58719
7/1/22,13.965,59119
8/1/22,14.008,59359
9/1/22,14.192,60163
10/1/22,15.158,60934
11/1/22,14.786,61101
12/1/22,14.049,61434
1/1/23,15.605,62204
2/1/23,15.379,62053
3/1/23,15.438,61561
4/1/23,16.21,61398
5/1/23,16.081,62219
6/1/23,16.608,62208
7/1/23,16.443,62896
8/1/23,15.838,62915
9/1/23,16.272,62182
10/1/23,15.92,58466
11/1/23,16.017,60549
12/1/23,16.575,60769
1/1/24,15.394,61053
2/1/24,16.098,61815
3/1/24,15.929,63531
4/1/24,16.345,64455
5/1/24,16.48,64445
6/1/24,15.629,63995
7/1/24,16.348,62339
